,score
CA14,0.01442393781048001
OR51E2,0.012976552027378213
CXCR2,0.012556799835996002
HOXC6,0.012043181999789019
DUOXA2,0.011524152810553613
AMACR,0.010620978343706594
MYO6,0.007353905414857887
FLNA,0.007322944121119075
MYL9,0.007032309999273097
SLPI,0.006831685890540964
DLX1,0.006578367111841969
RNF112,0.005090005531736546
KRT7,0.004430399710001973
CNN1,0.00408235963682523
TIMP3,0.00407002570309419
TFF3,0.0036785666513784224
PLA2G7,0.0035266404425182895
MYOCD,0.003066459718642513
TDRD1,0.003058309297561688
ACTG2,0.00298642005753326
CAV1,0.0028836950679027853
MYLK,0.0027497392815236297
KCNMA1,0.0026974442124667298
DKK1,0.0026718846968214814
DUOX2,0.0026112054879108755
BMP5,0.002514566315182329
HPN,0.0023544112599014006
DCN,0.0022165897270234134
FGFR2,0.0020174297871565776
CXCL13,0.0020067032889627924
MMP9,0.0018560500153365742
GLYATL1,0.0016537347554644868
SVIL,0.001643928712847696
TGFBR3,0.0014899108675333153
ANXA2,0.001371356884343423
APOF,0.0013198061094639934
BMP7,0.0012571979891752914
CAV2,0.0011677627830956475
LMO3,0.0010927153532685836
AOX1,0.0009910933594636348
LMOD1,0.0009161983843676921
EPHA2,0.000861225953835576
ERG,0.0008504548314237523
ACTA2,0.0006961191528880026
PTGS1,0.0006696750754405726
SORBS1,0.0006378794906065802
