,score
CA14,0.03657400996707669
CXCR2,0.0365636814015495
KRT7,0.029090569114931228
DCN,0.027874265153755587
OR51E2,0.02705187517925632
SLPI,0.026587290546529384
HOXC6,0.024695435879404315
MYO6,0.02389000221941142
AMACR,0.021970997609473162
TIMP3,0.021581494866069695
CNN1,0.02111422433866053
FLNA,0.020379338878539755
MYL9,0.020134578734553543
MYOCD,0.019714676544672925
TGFBR3,0.018578154481775338
MMP9,0.017441764630962996
HPN,0.017211848888131268
RNF112,0.0168435737739129
DUOXA2,0.016631358999034257
KCNMA1,0.016357569712244113
PLA2G7,0.01607800503208233
AOX1,0.015030561028343386
TFF3,0.013933412866103306
DKK1,0.013650977910398418
BMP5,0.013492092800416272
DLX1,0.012899995977535774
ANXA2,0.012830585018326433
ACTA2,0.012643905814546004
SVIL,0.01262900200010292
CAV1,0.012568584281406774
MYLK,0.012543270892798955
GLYATL1,0.012307699400485714
LMO3,0.011873794964562187
APOF,0.011690253699876266
PTGS1,0.011070038252647253
ACTG2,0.010856622434914177
CAV2,0.01077994708804333
TDRD1,0.010277339081429478
CXCL13,0.009913621599701904
ERG,0.009806091087178278
LMOD1,0.009465555666606956
BMP7,0.009119486536920528
FGFR2,0.009047148378971121
SORBS1,0.008959827911840003
DUOX2,0.008214653309383004
EPHA2,0.007394989532474575
